,osmid,y,x,street_count,lon,lat,highway,ref,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
5491,5550732612,51.0596427,13.8202407,1,13.8202407,51.0596427,turning_circle,,POINT (13.8202407 51.0596427),7.0,4.0,None,None
5492,251147835,51.071957,13.6358765,1,13.6358765,51.071957,,,POINT (13.6358765 51.071957),1.0,4.0,None,None
5493,312972901,51.0719262,13.6349427,1,13.6349427,51.0719262,,,POINT (13.6349427 51.0719262),1.0,4.0,None,None
5494,251152975,51.066154,13.6382803,1,13.6382803,51.066154,,,POINT (13.6382803 51.066154),1.0,4.0,None,None
5495,251153456,51.067529,13.6400276,3,13.6400276,51.067529,,,POINT (13.6400276 51.067529),1.0,4.0,None,None
5496,1261052473,51.0675633,13.6405649,1,13.6405649,51.0675633,,,POINT (13.6405649 51.0675633),1.0,4.0,None,None
5497,251153481,51.069888,13.6402636,1,13.6402636,51.069888,,,POINT (13.6402636 51.069888),1.0,4.0,None,None
5498,251351894,51.1365844,13.7990544,1,13.7990544,51.1365844,,,POINT (13.7990544 51.1365844),6.0,7.0,None,None
5499,251406204,51.0236203,13.8111337,3,13.8111337,51.0236203,,,POINT (13.8111337 51.0236203),6.0,2.0,None,None
5500,394959601,51.0235976,13.8130134,1,13.8130134,51.0235976,,,POINT (13.8130134 51.0235976),6.0,2.0,None,None
5501,251406205,51.0229721,13.8100327,3,13.8100327,51.0229721,,,POINT (13.8100327 51.0229721),6.0,2.0,None,None
5502,3841749014,51.0475871,13.7927801,3,13.7927801,51.0475871,,,POINT (13.7927801 51.0475871),6.0,3.0,None,None
5503,299145005,51.0584056,13.8278064,3,13.8278064,51.0584056,,,POINT (13.8278064 51.0584056),7.0,4.0,None,None
5504,258338576,51.0564462,13.8192258,3,13.8192258,51.0564462,,,POINT (13.8192258 51.0564462),7.0,3.0,None,None
5505,3200438036,51.0294284,13.6886882,3,13.6886882,51.0294284,,,POINT (13.6886882 51.0294284),3.0,2.0,None,None
5506,339851785,51.0469347,13.6880372,3,13.6880372,51.0469347,,,POINT (13.6880372 51.0469347),3.0,3.0,0,1
5507,251958896,51.0464871,13.6916579,1,13.6916579,51.0464871,,,POINT (13.6916579 51.0464871),3.0,3.0,0,0
5508,252002607,51.0888398,13.7052387,1,13.7052387,51.0888398,,,POINT (13.7052387 51.0888398),3.0,5.0,None,None
5509,252022685,51.0441456,13.7834736,1,13.7834736,51.0441456,,,POINT (13.7834736 51.0441456),6.0,3.0,None,None
5510,2835713639,51.0435542,13.783114,3,13.783114,51.0435542,,,POINT (13.783114 51.0435542),6.0,3.0,None,None
5511,384902846,51.0632309,13.8494136,1,13.8494136,51.0632309,,,POINT (13.8494136 51.0632309),7.0,4.0,None,None
5512,252433599,51.0222344,13.7116872,1,13.7116872,51.0222344,,,POINT (13.7116872 51.0222344),3.0,2.0,None,None
5513,252658390,51.0320327,13.8494821,3,13.8494821,51.0320327,,,POINT (13.8494821 51.0320327),7.0,2.0,None,None
5514,252658398,51.0314483,13.8483388,1,13.8483388,51.0314483,,,POINT (13.8483388 51.0314483),7.0,2.0,None,None
