,osmid,y,x,street_cou,lon,lat,ref,highway,geometry
531,98417229,45.4816628,-73.7927481,3,-73.7927481,45.4816628,,,POINT (-73.7927481 45.4816628)
532,605205925,45.4811839,-73.7939537,4,-73.7939537,45.4811839,,,POINT (-73.7939537 45.4811839)
533,98417232,45.4823162,-73.7950286,3,-73.7950286,45.4823162,,,POINT (-73.79502859999999 45.4823162)
534,5516182942,45.4939666,-73.8074002,3,-73.8074002,45.4939666,,,POINT (-73.8074002 45.4939666)
535,4612060252,45.4714629,-73.811143,3,-73.811143,45.4714629,52,motorway_junction,POINT (-73.811143 45.4714629)
536,98422928,45.4859046,-73.7808305,3,-73.7808305,45.4859046,,,POINT (-73.78083049999999 45.4859046)
537,8604315515,45.4873545,-73.7777482,3,-73.7777482,45.4873545,58,motorway_junction,POINT (-73.7777482 45.4873545)
538,98422950,45.4899532,-73.7326791,3,-73.7326791,45.4899532,,,POINT (-73.7326791 45.4899532)
539,606288096,45.4895902,-73.7265324,3,-73.7265324,45.4895902,62,motorway_junction,POINT (-73.7265324 45.4895902)
540,98422966,45.4938775,-73.6926077,3,-73.6926077,45.4938775,,,POINT (-73.6926077 45.4938775)
541,98422970,45.49442,-73.6895688,3,-73.6895688,45.49442,65,motorway_junction,POINT (-73.6895688 45.49442)
542,227848899,45.4945336,-73.6820886,4,-73.6820886,45.4945336,,,POINT (-73.6820886 45.4945336)
