,from,highway,lanes,length,maxspeed,name,oneway,osmid,to,geometry,capacity
1322,1890950895,residential,2.0,33.866,50,興和街 Hing Wo Street,0,51801385,308715436,"LINESTRING (114.1485029 22.2502848, 114.1483051 22.2500414)",400
1323,1683192172,residential,2.0,101.011,50,嘉禾街 Ka Wo Street,1,51801231,308715436,"LINESTRING (114.149106 22.2495163, 114.1483051 22.2500414)",400
1324,308715454,residential,2.0,37.369,50,漁暉道 Yue Fai Road,0,26581714,308715450,"LINESTRING (114.156356 22.2484434, 114.1563751 22.2481078)",400
1325,308715453,secondary,2.0,63.34,50,香港仔大道 Aberdeen Main Road,1,26560171,1054617083,"LINESTRING (114.1557437 22.2489917, 114.1557749 22.2485533, 114.1557841 22.2484233)",700
1326,308715455,residential,2.0,91.133,50,香港仔舊大街 Old Main Street Aberdeen,1,"[28103309, 48053270]",308715453,"LINESTRING (114.156056 22.2484322, 114.156012 22.2490018, 114.1557437 22.2489917)",400
1327,308715454,residential,2.0,30.9,50,,1,90838374,308715455,"LINESTRING (114.156356 22.2484434, 114.156056 22.2484322)",400
1328,1054616639,residential,2.0,67.904,50,漁暉道 Yue Fai Road,1,"[90838370, 90838399]",308715454,"LINESTRING (114.1563108 22.2490526, 114.1563161 22.2490076, 114.156356 22.2484434)",400
1329,1054617083,residential,2.0,28.001,50,,1,28103311,308715455,"LINESTRING (114.1557841 22.2484233, 114.156056 22.2484322)",400
1330,308715499,residential,2.0,33.505,50,漁歌街 Yue Ko Street,1,51801577,660914534,"LINESTRING (114.148185 22.2492268, 114.1481137 22.2489328)",400
1331,660914392,residential,2.0,54.268,50,漁獲街 Yue Wok Street,1,28103314,308715499,"LINESTRING (114.1477144 22.2494309, 114.1479493 22.2493676, 114.1480557 22.2493214, 114.1480938 22.2492988, 114.148185 22.2492268)",400
1332,660914716,residential,2.0,30.813,50,漁歌街 Yue Ko Street,1,51801577,308715499,"LINESTRING (114.1483338 22.2494669, 114.1482255 22.2493027, 114.1482036 22.2492659, 114.148185 22.2492268)",400
1333,1026550163,residential,2.0,125.677,50,鳳凰臺 Fung Wong Terrace,0,"[88377394, 866229355]",308716806,"LINESTRING (114.1722405 22.2742006, 114.1722414 22.2742257, 114.172233 22.2742507, 114.1721729 22.2742743, 114.1721162 22.2742563, 114.1720406 22.2741119, 114.172025 22.2740671, 114.1720356 22.2740264, 114.1720787 22.2739963, 114.1723998 22.2738618, 114.1725266 22.273835, 114.1725951 22.2737891, 114.1726223 22.2737275, 114.1726216 22.2736895, 114.1726133 22.273656)",400
1334,1026550271,secondary,2.0,33.294000000000004,50,堅尼地道 Kennedy Road,0,866232114,308716806,"LINESTRING (114.1729173 22.2735581, 114.1727841 22.2736099, 114.1727463 22.2736263, 114.1726271 22.2736563, 114.1726133 22.273656)",700
