,osmid,y,x,street_cou,lon,lat,highway,ref,geometry
1691,191951559,51.3098033,-0.2417013,3,-0.2417013,51.3098033,,,POINT (-0.2417013 51.3098033)
1692,206226603,51.3013603,-0.3187114,3,-0.3187114,51.3013603,motorway_junction,9,POINT (-0.3187114 51.3013603)
1693,206226666,51.306292,-0.3226566,3,-0.3226566,51.306292,,,POINT (-0.3226566 51.306292)
1694,250761874,51.3058827,-0.4037644,3,-0.4037644,51.3058827,services,,POINT (-0.4037644 51.3058827)
1695,1654043479,51.4160875,-0.4250195,3,-0.4250195,51.4160875,,,POINT (-0.4250195 51.4160875)
1696,248446270,51.374303,-0.2989956,3,-0.2989956,51.374303,,,POINT (-0.2989956 51.374303)
1697,206975287,51.4412147,-0.5315801,3,-0.5315801,51.4412147,,,POINT (-0.5315801 51.4412147)
1698,3173491307,51.4441572,-0.5306279,3,-0.5306279,51.4441572,,,POINT (-0.5306279 51.4441572)
1699,223162378,51.433391,-0.5209805,3,-0.5209805,51.433391,,,POINT (-0.5209805 51.433391)
1700,223162645,51.4333337,-0.5206955,3,-0.5206955,51.4333337,,,POINT (-0.5206955 51.4333337)
1701,5708233891,51.4331771,-0.520774,3,-0.520774,51.4331771,,,POINT (-0.520774 51.4331771)
1702,1678348384,51.4327548,-0.5183517,3,-0.5183517,51.4327548,,,POINT (-0.5183517 51.4327548)
1703,4471376714,51.3038,-0.3223414,3,-0.3223414,51.3038,,,POINT (-0.3223414 51.3038)
1704,224831565,51.3762118,-0.2833888,3,-0.2833888,51.3762118,,,POINT (-0.2833888 51.3762118)
1705,1460628264,51.3741042,-0.2985459,3,-0.2985459,51.3741042,,,POINT (-0.2985459 51.3741042)
1706,224831696,51.3757343,-0.2842997,3,-0.2842997,51.3757343,,,POINT (-0.2842997 51.3757343)
1707,224831963,51.3833701,-0.2764489,3,-0.2764489,51.3833701,,,POINT (-0.2764489 51.3833701)
1708,224831941,51.3823994,-0.2772327,3,-0.2772327,51.3823994,,,POINT (-0.2772327 51.3823994)
1709,1489009750,51.3792301,-0.2800227,3,-0.2800227,51.3792301,,,POINT (-0.2800227 51.3792301)
1710,1454265629,51.393157,-0.2599009,3,-0.2599009,51.393157,motorway_junction,,POINT (-0.2599009 51.393157)
1711,239996518,51.4150984,-0.2515243,3,-0.2515243,51.4150984,,,POINT (-0.2515243 51.4150984)
1712,240001218,51.4156234,-0.25231,3,-0.25231,51.4156234,,,POINT (-0.25231 51.4156234)
1713,8211509651,51.4158675,-0.2520247,3,-0.2520247,51.4158675,,,POINT (-0.2520247 51.4158675)
1714,240003816,51.4158832,-0.2523776,3,-0.2523776,51.4158832,,,POINT (-0.2523776 51.4158832)
1715,1142071227,51.4178244,-0.2505939,3,-0.2505939,51.4178244,,,POINT (-0.2505939 51.4178244)
1716,240002693,51.4149245,-0.25073,3,-0.25073,51.4149245,,,POINT (-0.25073 51.4149245)
1717,1454301571,51.4022894,-0.2419361,3,-0.2419361,51.4022894,,,POINT (-0.2419361 51.4022894)
1718,8211509648,51.4159504,-0.2524374,3,-0.2524374,51.4159504,,,POINT (-0.2524374 51.4159504)
1719,240958446,51.3268472,-0.1939045,3,-0.1939045,51.3268472,,,POINT (-0.1939045 51.3268472)
1720,8525510614,51.3820751,-0.2842834,2,-0.2842834,51.3820751,,,POINT (-0.2842834 51.3820751)
1721,251576356,51.2887614,-0.233978,3,-0.233978,51.2887614,traffic_signals,,POINT (-0.233978 51.2887614)
