gridID_lat,gridID_lon,inner_gridID_lat,inner_gridID_lon,oneway,lanelength,fishnetID,osmid,y,x,street_count,lon,lat,ref,highway,nodeID,geometry,lanecapacity
6,22,None,None,False,5804.926,94,8440850689,22.2918868,114.1933534,3,114.1933534,22.2918868,,,2889,POINT (114.1933534 22.2918868),20000.0
6,22,None,None,False,5804.926,94,1613174419,22.2915782,114.1965577,3,114.1965577,22.2915782,H109,,205,POINT (114.1965577 22.2915782),3400.0
6,22,None,None,False,5804.926,94,597772819,22.2919731,114.1985699,3,114.1985699,22.2919731,,,1625,POINT (114.1985699 22.2919731),4000.0
6,22,None,None,False,5804.926,94,1011184140,22.2920573,114.2030188,2,114.2030188,22.2920573,,,468,POINT (114.2030188 22.2920573),2400.0
6,22,None,None,False,5804.926,94,295884756,22.2928857,114.2049512,4,114.2049512,22.2928857,,,459,POINT (114.2049512 22.2928857),8200.0
6,23,None,None,False,922.947,96,5609888967,22.2889129,114.2172062,3,114.2172062,22.2889129,5,motorway_junction,3155,POINT (114.2172062 22.2889129),18000.0
6,23,None,None,False,922.947,96,8579257701,22.2884265,114.2196739,3,114.2196739,22.2884265,,,3247,POINT (114.2196739 22.2884265),16000.0
6,23,None,None,False,922.947,96,295884684,22.2930006,114.2081529,3,114.2081529,22.2930006,6,motorway_junction,456,POINT (114.2081529 22.2930006),14000.0
6,23,None,None,False,922.947,96,317146573,22.2893216,114.2151245,3,114.2151245,22.2893216,,,688,POINT (114.2151245 22.2893216),12000.0
6,23,None,None,False,922.947,96,990023345,22.2872406,114.2102328,3,114.2102328,22.2872406,,,1843,POINT (114.2102328 22.2872406),5600.0
6,24,None,None,False,436.947,98,10261837334,22.3006795,114.2333652,3,114.2333652,22.3006795,,,1316,POINT (114.2333652 22.3006795),16000.0
6,24,None,None,False,436.947,98,1004684390,22.2877156,114.2213105,3,114.2213105,22.2877156,,,2028,POINT (114.2213105 22.2877156),10000.0
6,24,None,None,False,436.947,98,6332365859,22.2990847,114.2305438,3,114.2305438,22.2990847,,,3181,POINT (114.2305438 22.2990847),4200.0
6,24,None,None,False,436.947,98,3013850445,22.2993322,114.234665,3,114.234665,22.2993322,,,2366,POINT (114.234665 22.2993322),4200.0
6,25,None,None,False,7894.181999999999,100,276170567,22.2979072,114.2407935,4,114.2407935,22.2979072,,,274,POINT (114.2407935 22.2979072),5600.0
6,25,None,None,False,7894.181999999999,100,1694240825,22.3005581,114.2382741,3,114.2382741,22.3005581,,,1377,POINT (114.2382741 22.3005581),4200.0
6,25,None,None,False,7894.181999999999,100,3249544588,22.2952976,114.2403125,3,114.2403125,22.2952976,,,275,POINT (114.2403125 22.2952976),4200.0
6,25,None,None,False,7894.181999999999,100,4841926468,22.2967401,114.2375063,3,114.2375063,22.2967401,,,1383,POINT (114.2375063 22.2967401),3600.0
6,27,None,None,False,742.6859999999999,103,5101850458,22.2898719,114.2738093,6,114.2738093,22.2898719,,,626,POINT (114.2738093 22.2898719),8000.0
6,27,None,None,False,742.6859999999999,103,310553234,22.2878838,114.2718696,3,114.2718696,22.2878838,,,628,POINT (114.2718696 22.2878838),3600.0
6,27,None,None,False,742.6859999999999,103,1484868364,22.2920944,114.2736034,3,114.2736034,22.2920944,,,1477,POINT (114.2736034 22.2920944),4600.0
6,27,None,None,False,742.6859999999999,103,573370484,22.2985868,114.2716931,3,114.2716931,22.2985868,,,1470,POINT (114.2716931 22.2985868),6400.0
6,28,None,None,False,4391.450000000001,105,334475332,22.2962536,114.291506,2,114.291506,22.2962536,,,788,POINT (114.291506 22.2962536),3800.0
6,28,None,None,False,4391.450000000001,105,1262838276,22.2961202,114.2914906,2,114.2914906,22.2961202,,,789,POINT (114.2914906 22.2961202),3600.0
7,5,None,None,False,1725.1439999999998,108,232076687,22.3023797,113.9356652,3,113.9356652,22.3023797,,,4215,POINT (113.9356652 22.3023797),14000.0
