,Unnamed: 0,osmid,y,x,street_cou,lon,lat,ref,highway,geometry,gridID_lon,gridID_lat,inner_grid_lon,inner_grid_lat
9681,9681,246283591,45.5123066,-73.68505649999999,3,-73.68505649999999,45.5123066,,,POINT (-73.6850565 45.5123066),4.0,3.0,1,0
9682,9682,658977071,45.5100495,-73.6878772,4,-73.6878772,45.5100495,,,POINT (-73.6878772 45.5100495),4.0,3.0,1,0
9683,9683,246283619,45.5076196,-73.6805968,3,-73.6805968,45.5076196,,,POINT (-73.6805968 45.5076196),4.0,2.0,None,None
9684,9684,246283622,45.505881099999996,-73.6795313,3,-73.6795313,45.505881099999996,,,POINT (-73.67953129999999 45.5058811),4.0,2.0,None,None
9685,9685,246283621,45.507021,-73.6813636,3,-73.6813636,45.507021,,,POINT (-73.6813636 45.507021),4.0,2.0,None,None
9686,9686,246283628,45.505424,-73.677836,3,-73.677836,45.505424,,,POINT (-73.677836 45.505424),4.0,2.0,None,None
9687,9687,581020584,45.5047239,-73.6782978,3,-73.6782978,45.5047239,,,POINT (-73.6782978 45.5047239),4.0,2.0,None,None
9688,9688,246283633,45.508055999999996,-73.6829463,3,-73.6829463,45.508055999999996,,,POINT (-73.6829463 45.508056),4.0,2.0,None,None
9689,9689,246283632,45.5093101,-73.6849128,4,-73.6849128,45.5093101,,,POINT (-73.68491280000001 45.5093101),4.0,2.0,None,None
9690,9690,479078899,45.5105797,-73.6852944,3,-73.6852944,45.5105797,,,POINT (-73.6852944 45.5105797),4.0,3.0,1,0
9691,9691,479078863,45.510015,-73.6860182,3,-73.6860182,45.510015,,,POINT (-73.68601820000001 45.510015),4.0,3.0,1,0
9692,9692,246283748,45.508399700000005,-73.67066329999999,1,-73.67066329999999,45.508399700000005,,,POINT (-73.6706633 45.5083997),4.0,2.0,None,None
9693,9693,246283772,45.5033123,-73.6708665,3,-73.6708665,45.5033123,,,POINT (-73.6708665 45.5033123),4.0,2.0,None,None
9694,9694,246284659,45.5115246,-73.66602370000001,3,-73.66602370000001,45.5115246,,,POINT (-73.6660237 45.5115246),5.0,3.0,None,None
9695,9695,246285258,45.5112521,-73.66505620000001,3,-73.66505620000001,45.5112521,,,POINT (-73.6650562 45.5112521),5.0,3.0,None,None
9696,9696,246284660,45.5136129,-73.66481379999999,3,-73.66481379999999,45.5136129,,,POINT (-73.6648138 45.5136129),5.0,3.0,None,None
9697,9697,5245638587,45.5092686,-73.6673449,3,-73.6673449,45.5092686,,,POINT (-73.6673449 45.5092686),4.0,2.0,None,None
9698,9698,246285253,45.513340299999996,-73.6638735,4,-73.6638735,45.513340299999996,,,POINT (-73.66387349999999 45.5133403),5.0,3.0,None,None
9699,9699,246285255,45.515578999999995,-73.6636747,3,-73.6636747,45.515578999999995,,,POINT (-73.6636747 45.515579),5.0,3.0,None,None
